ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total
ingenio san jose de abajo s.a. de c.v.,2012-2013,17,176468.37,173152.578,2937.0,17909.3,0.0,17909.3,0.0,0.0,0,6325.489,0.0,0.0,80.274,89.178,93.648,31.355,13.776,12.948,16.72,13.6,81.34,2.62,52.69,3614.777,1451.227,1958.828,294.7,802.402,4507.157,0,30467,0,0,30467,113:11:00,06:24,48:00:00,00:33,00:00,168:08:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,18,200355.75,196505.097,3265.0,20421.75,0.0,20421.75,0.0,0.0,0,7242.793,0.0,0.0,80.087,88.958,93.437,31.455,13.749,13.042,16.83,13.7,81.383,2.72,52.8,4149.638,1715.034,2205.689,346.465,936.231,5203.419,0,30467,0,0,30467,138:50:00,06:24,48:00:00,00:33,00:00,193:47:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,19,223303.045,218933.454,3593.0,22783.05,0.0,22783.05,0.0,0.0,0,7995.578,0.0,0.0,79.865,88.825,93.254,31.494,13.716,13.084,16.9,13.74,81.259,2.8,52.85,4668.576,1970.939,2444.485,391.726,1075.459,5882.609,0,30467,0,0,30467,152:32:00,06:24,72:00:00,00:33,00:00,231:29:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,20,250766.185,245787.167,3974.0,25748.15,0.0,25748.15,0.0,0.0,0,8953.526,0.0,0.0,79.689,88.732,93.055,31.496,13.66,13.166,16.99,13.81,81.288,2.9,52.91,5278.003,2292.962,2692.184,454.466,1266.44,6706.052,0,30467,0,0,30467,164:46:00,06:27,72:00:00,00:43,03:45,247:41:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,21,272495.545,266998.185,4277.0,28049.8,0.0,28049.8,0.0,0.0,0,9654.12,0.0,0.0,79.725,88.757,93.007,31.482,13.645,13.227,17.05,13.86,81.291,2.94,52.89,5796.345,2520.527,2903.964,486.213,1396.965,7307.669,0,30467,0,0,30467,179:57:00,07:45,72:00:00,00:43,31:45:00,292:10:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,22,297042.41,290932.91,4617.0,30775.0,0.0,30775.0,0.0,0.0,0,10532.536,0.0,0.0,79.637,88.976,93.042,31.396,13.606,13.289,17.08,13.9,81.353,2.94,52.88,6408.485,2746.531,3136.998,537.108,1617.618,8038.255,0,30467,0,0,30467,206:41:00,07:52,72:00:00,00:43,31:45:00,319:01:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,23,321895.87,315066.607,4963.0,33473.95,0.0,33473.95,0.0,0.0,0,11277.728,0.0,0.0,79.593,89.061,93.069,31.372,13.577,13.357,17.13,13.96,81.48,2.95,52.94,7128.248,2980.164,3371.009,585.155,1837.89,8774.218,0,30467,0,0,30467,241:19:00,08:08,72:00:00,02:53,31:45:00,356:05:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,24,346543.74,339024.614,5305.0,36163.1,0.0,36163.1,0.0,0.0,0,12008.636,0.0,0.0,79.683,89.242,93.095,31.337,13.55,13.403,17.16,13.98,81.468,2.95,52.97,7818.111,3207.052,3631.859,640.012,1958.057,9436.98,0,30467,0,0,30467,263:46:00,08:08,72:00:00,02:53,31:45:00,378:32:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,25,367161.91,358969.305,5591.0,38335.5,0.0,38335.5,0.0,0.0,0,12594.594,0.0,0.0,79.565,89.18,93.092,31.413,13.591,13.431,17.22,14.02,81.407,2.95,52.94,8491.59,3406.818,3876.334,674.769,2119.36,10077.281,0,30467,0,0,30467,289:54:00,08:08,96:00:00,02:53,31:45:00,428:40:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,26,383159.265,374507.817,5819.0,40109.25,0.0,40109.25,0.0,0.0,0,13335.832,0.0,0.0,78.704,89.109,93.075,31.454,13.611,13.439,17.253,14.038,81.362,2.959,52.92,8950.433,3565.94,4138.677,703.872,2557.951,10966.44,0,30467,0,0,30467,333:25:00,08:08,126:23:00,02:53,31:45:00,502:34:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,27,409189.875,399754.212,6181.0,42655.9,0.0,42655.9,0.0,0.0,0,14135.512,0.0,0.0,79.514,89.225,93.066,31.447,13.612,13.465,17.273,14.045,81.309,2.969,52.89,9734.648,3820.322,4951.831,742.511,1772.772,11287.436,0,30467,0,0,30467,348:19:00,08:08,126:23:00,04:23,31:45:00,518:58:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,28,436607.025,426339.127,6562.0,45625.05,0.0,45625.05,0.0,0.0,0,15156.834,0.0,0.0,79.601,89.247,93.015,31.515,13.639,13.491,17.292,14.061,81.313,2.99,52.87,10566.883,4114.708,5354.337,784.232,1762.361,12015.638,0,30467,0,0,30467,354:21:00,08:08,126:23:00,08:59,31:45:00,529:36:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,29,458695.15,447750.747,6869.0,47777.8,0.0,47777.8,0.0,0.0,0,16251.274,0.0,0.0,79.305,89.19,92.95,31.602,13.688,13.51,17.331,14.08,81.243,3.014,52.8,11243.388,4368.969,5783.1,823.108,1849.692,12824.869,0,30467,0,0,30467,402:59:00,08:08,126:23:00,08:59,31:45:00,578:14:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,30,483060.525,471357.972,7207.0,50225.2,0.0,50225.2,0.0,0.0,0,17617.171,0.0,0.0,78.808,88.977,92.857,31.775,13.77,13.53,17.388,14.121,81.208,3.042,52.74,12001.538,4668.464,6295.68,866.693,2020.093,13850.93,0,30467,0,0,30467,421:55:00,08:08,126:23:00,08:59,31:45:00,597:10:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,31,506522.75,494076.238,7532.0,52384.75,0.0,52384.75,0.0,0.0,0,18905.067,0.0,0.0,77.394,88.872,92.794,31.886,13.798,13.539,17.427,14.137,81.12,3.06,52.77,12745.497,4941.647,7093.256,903.395,2564.277,15502.575,0,32313,0,0,32313,437:45:00,08:08,126:23:00,08:59,31:45:00,613:00:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,32,531559.09,518315.213,7880.0,54799.15,0.0,54799.15,0.0,0.0,0,20137.524,0.0,0.0,77.128,88.815,92.737,32.006,13.831,13.549,17.455,14.147,81.048,3.075,52.81,13542.862,5230.681,7693.08,948.586,2600.231,16472.578,0,32498,0,0,32498,451:53:00,08:51,126:23:00,08:59,31:45:00,627:51:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,33,556498.255,542382.977,8212.0,57163.3,0.0,57163.3,0.0,0.0,0,21644.663,0.0,0.0,76.743,88.858,92.675,32.093,13.852,13.558,17.47,14.141,80.941,3.094,52.83,14414.263,5526.545,8317.62,997.006,2706.751,17547.922,0,32498,0,0,32498,461:52:00,08:51,126:23:00,08:59,31:45:00,637:50:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,34,569075.49,554509.147,8363.0,58244.15,0.0,58244.15,0.0,0.0,0,22440.576,0.0,0.0,76.362,88.836,92.632,32.189,13.883,13.569,17.491,14.149,80.892,3.106,52.84,14865.328,5689.627,8728.817,1016.967,2817.675,18253.086,0,32498,0,0,32498,547:47:00,08:51,126:23:00,08:59,31:45:00,723:45:00
ingenio san jose de abajo s.a. de c.v.,2012-2013,35,588164.14,569790.872,8611.62,59645.85,0.0,59645.85,0.0,0.0,0,23371.991,0.0,0.0,75.841,88.835,92.597,32.291,13.927,13.557,17.494,14.131,80.779,3.108,52.83,15339.463,5869.284,9213.974,1039.195,3032.393,19154.846,0,34344,0,0,34344,576:40:00,08:51,126:23:00,08:59,51:17:00,772:10:00
